uniqueid,drugname,condition,rating,date,usefulcount
231564,Trazodone,Insomnia,3,2016-01-04,19
107437,Implanon,Birth Control,10,2011-09-24,1
30378,Klonopin,Benzodiazepine Withdrawal,8,2010-07-22,69
126350,Carvedilol,Heart Failure,10,2015-02-16,28
122685,Linaclotide,"Constipation, Chronic",9,2015-10-13,48
26929,Ultram,Chronic Pain,10,2015-02-22,41
197227,Paroxetine,Social Anxiety Disorde,10,2014-03-13,92
24153,Tretinoin,Acne,10,2014-03-09,36
56297,Humira,Rheumatoid Arthritis,3,2015-10-17,39
181391,Prozac,Anxiety and Stress,6,2015-09-13,38
192273,Drospirenone / ethinyl estradiol,Birth Control,2,2015-12-18,2
194919,Levetiracetam,Epilepsy,7,2013-12-21,23
71182,Viberzi,Irritable Bowel Syndrome,1,2016-07-25,18
105122,Evolocumab,"High Cholesterol, Familial Heterozygous",10,2017-02-21,37
155012,Metronidazole,Dental Abscess,2,2016-08-10,16
152978,Doxycycline,Chlamydia Infection,9,2016-12-05,7
44500,Ethinyl estradiol / norgestimate,Birth Control,1,2010-01-22,19
199258,Depo-Provera,Birth Control,1,2015-10-06,8
207934,Suprep Bowel Prep Kit,Bowel Preparation,8,2014-11-11,21
35817,Buprenorphine / naloxone,Opiate Dependence,7,2015-05-23,26
220057,Amitriptyline,Pain,9,2016-04-15,44
223949,Levonorgestrel,Birth Control,1,2016-12-06,10
103846,Ethinyl estradiol / levonorgestrel,Birth Control,10,2015-01-16,8
117071,Synvisc-One,Osteoarthritis,1,2016-12-04,21
70163,Triumeq,HIV Infection,4,2016-10-07,10
9539,Lo Loestrin Fe,Birth Control,10,2016-04-20,7
48885,Ethinyl estradiol / levonorgestrel,Birth Control,4,2017-01-04,2
139150,Phentermine,Weight Loss,8,2009-04-16,3
221271,Drysol,0</span> users found this comment helpful.,9,2011-03-18,0
159505,Gabapentin enacarbil,Restless Legs Syndrome,4,2017-03-20,1
84471,Ethinyl estradiol / norgestimate,Birth Control,10,2016-11-04,3
75569,Glucophage,"Diabetes, Type 2",9,2009-02-21,113
128091,Phentermine,Weight Loss,8,2016-07-13,7
26410,Sprintec,Birth Control,1,2015-06-02,15
41235,Acetaminophen / oxycodone,Pain,9,2011-02-22,20
94782,Abilify,Bipolar Disorde,1,2013-08-13,38
107099,Implanon,Birth Control,9,2013-01-12,2
61443,Citalopram,Generalized Anxiety Disorde,2,2017-06-01,4
154640,Metronidazole,Bacterial Infection,1,2017-10-20,10
150052,Soma,Muscle Spasm,10,2008-09-24,86
70379,Zofran,Nausea/Vomiting,9,2009-06-22,6
57592,Acetaminophen / hydrocodone,Back Pain,2,2016-09-09,9
57587,Acetaminophen / hydrocodone,Back Pain,8,2017-02-11,16
201861,Antipyrine / benzocaine,Otitis Media,10,2009-03-27,18
214617,Liothyronine,Underactive Thyroid,10,2015-03-15,146
143352,Etonogestrel,Birth Control,10,2017-03-14,18
65729,Propranolol,Pe,7,2016-08-24,11
231867,Trazodone,Anxiety,8,2012-07-11,73
198008,Metoprolol,High Blood Pressure,10,2012-09-25,77
131692,Effexor XR,Generalized Anxiety Disorde,8,2017-01-25,14
76673,Lorcaserin,Weight Loss,8,2017-03-16,1
187711,Codeine / guaifenesin,Cough,6,2011-06-21,24
199405,Depo-Provera,Abnormal Uterine Bleeding,3,2015-05-19,7
90585,Docosanol,Herpes Simplex,10,2015-04-12,13
169443,Q-Tapp DM,Cough and Nasal Congestion,8,2012-03-20,2
142502,Levonorgestrel,Emergency Contraception,10,2017-09-06,12
85533,Ethinyl estradiol / norgestimate,Acne,10,2015-02-17,13
173976,Valium,Meniere's Disease,10,2017-11-29,0
124230,Skyla,Birth Control,7,2016-02-09,0
205712,Pristiq,Anxiety,10,2011-06-21,8
1273,Sumatriptan,Migraine,5,2014-04-28,8
67714,Plan B,Emergency Contraception,10,2017-01-16,5
55827,Effexor,Bipolar Disorde,10,2013-02-05,79
580,Medroxyprogesterone,Birth Control,3,2012-09-27,13
144834,Etonogestrel,Birth Control,1,2016-01-14,4
100879,Orlistat,Obesity,10,2014-06-13,174
57664,Acetaminophen / hydrocodone,Pain,10,2015-03-25,48
116050,Lorcaserin,Obesity,10,2015-08-12,36
230113,Efavirenz,HIV Infection,8,2012-01-08,1
151062,OxyContin,Chronic Pain,10,2017-06-22,16
166195,Levonorgestrel,Emergency Contraception,10,2016-12-29,6
197190,Paroxetine,Anxiety,5,2014-05-12,64
90183,Chlorpheniramine / hydrocodone / pseudoephedrine,Cough and Nasal Congestion,10,2012-04-07,10
135799,Percocet,Chronic Pain,9,2013-02-04,65
214367,Tioconazole,Vaginal Yeast Infection,1,2015-10-15,7
231258,Trazodone,Insomnia,9,2017-08-11,31
129950,Levonorgestrel,Abnormal Uterine Bleeding,10,2015-03-20,29
52277,Adipex-P,Weight Loss,10,2009-03-31,33
99084,Lutera,Birth Control,8,2014-03-12,17
90960,Norco,Back Pain,8,2012-08-19,16
6492,Wellbutrin XL,Major Depressive Disorde,9,2017-11-29,1
8349,Zolpidem,Insomnia,10,2015-04-11,9
29753,Topiramate,Migraine Prevention,10,2009-12-08,33
105524,Zoladex,Endometriosis,10,2017-09-20,2
132064,Effexor XR,Anxiety,10,2008-10-29,49
223121,Estradiol,Postmenopausal Symptoms,7,2016-01-12,10
222856,Topamax,Bipolar Disorde,10,2013-02-10,58
231694,Trazodone,Insomnia,9,2015-02-25,70
101552,Keytruda,"Melanoma, Metastatic",8,2017-02-25,16
207935,Suprep Bowel Prep Kit,Bowel Preparation,10,2014-11-10,23
12892,Vardenafil,Erectile Dysfunction,8,2016-05-01,16
90847,Roxicodone,Chronic Pain,10,2013-08-04,56
174063,Valium,Muscle Spasm,10,2015-01-22,83
120304,Montelukast,Asthma,2,2016-07-04,12
106394,Implanon,Birth Control,8,2016-07-18,2
13785,Amphetamine / dextroamphetamine,Not Listed / Othe,10,2008-09-09,2
114795,Methotrexate,Psoriasis,8,2009-04-01,67
146758,Alprazolam,Anxiety,1,2017-07-29,9
212746,Phenergan,Nausea/Vomiting,10,2010-04-17,27
145622,Qsymia,Weight Loss,9,2015-12-31,49
95937,Sertraline,Obsessive Compulsive Disorde,9,2013-08-13,88
142533,Levonorgestrel,Birth Control,8,2017-09-14,1
54772,Bupropion / naltrexone,Obesity,1,2017-03-11,11
160675,Buspirone,Panic Disorde,10,2013-01-25,184
178153,Duloxetine,Depression,8,2010-11-05,13
148373,Empagliflozin / linagliptin,"Diabetes, Type 2",9,2017-11-03,0
228235,Etonogestrel,Birth Control,7,2010-01-12,2
15621,Ethinyl estradiol / norethindrone,Birth Control,8,2016-11-15,4
166692,Levonorgestrel,Birth Control,3,2016-09-10,6
89070,Singulair,"Asthma, Maintenance",9,2010-04-24,23
72257,Tramadol,Pain,9,2012-06-30,18
160474,Buspirone,Anxiety,5,2016-01-02,8
65134,Saphris,Bipolar Disorde,9,2010-11-19,12
98876,Nexplanon,Birth Control,9,2013-06-11,4
8988,Viagra,Erectile Dysfunction,6,2009-07-19,7
114029,Amlodipine,High Blood Pressure,5,2013-11-11,92
103842,Ethinyl estradiol / levonorgestrel,Ovarian Cysts,7,2015-01-20,4
178407,Duloxetine,ibromyalgia,8,2009-01-26,83
13507,Amphetamine / dextroamphetamine,ADHD,10,2015-01-21,79
958,Rituxan,Non-Hodgkin's Lymphoma,9,2010-12-04,65
165926,Levonorgestrel,Birth Control,10,2017-03-02,4
71832,Tramadol,Restless Legs Syndrome,10,2016-04-09,14
117413,Jublia,"Onychomycosis, Toenail",3,2015-03-31,21
12816,Etanercept,Rheumatoid Arthritis,9,2008-03-26,64
697,Medroxyprogesterone,Endometriosis,9,2010-04-01,8
153980,Vivitrol,Opiate Dependence,10,2017-01-18,66
88979,Singulair,Allergic Rhinitis,10,2017-01-18,17
180522,Fluticasone / vilanterol,COPD,9,2016-08-28,21
92778,Vortioxetine,Depression,4,2017-09-28,4
230621,Depo-Provera,4</span> users found this comment helpful.,2,2010-02-04,4
16152,Ethinyl estradiol / norethindrone,Birth Control,1,2016-04-25,8
116171,Nexplanon,Birth Control,4,2015-11-16,2
87686,Naproxen,Back Pain,7,2011-04-26,33
200714,Varenicline,Smoking Cessation,9,2009-10-06,7
203158,Fentanyl Transdermal System,Pain,10,2012-04-23,72
26781,Sprintec,Endometriosis,1,2009-08-13,9
110987,Diclegis,Nausea/Vomiting of Pregnancy,8,2016-01-03,3
107419,Implanon,Birth Control,1,2011-07-28,5
231224,Hydromet,Cough,4,2011-02-28,21
53804,Zipsor,Pain,10,2013-05-19,18
118617,Milk of Magnesia,Constipation,10,2013-08-23,21
165405,Levonorgestrel,Birth Control,8,2017-06-16,7
127255,Melatonin,Not Listed / Othe,7,2015-11-02,10
178010,Duloxetine,Osteoarthritis,5,2012-03-19,54
32930,Seasonique,Ovarian Cysts,9,2016-03-05,3
60760,MoviPrep,Bowel Preparation,9,2016-08-15,30
147725,Norethindrone,Abnormal Uterine Bleeding,1,2017-11-11,2
55080,Bupropion / naltrexone,Weight Loss,10,2016-05-13,20
213893,Tioconazole,Vaginal Yeast Infection,10,2016-11-18,6
51759,Aczone,Acne,1,2011-10-19,8
88918,Lactulose,"Constipation, Acute",10,2017-07-25,5
205352,Pristiq,Depression,9,2016-05-11,34
205319,Pristiq,Depression,10,2017-01-03,42
213788,Tioconazole,Vaginal Yeast Infection,10,2017-01-18,0
54418,Bupropion / naltrexone,,1,2017-10-01,0
227845,Etonogestrel,Birth Control,10,2011-09-29,0
71703,Tramadol,Depression,10,2017-05-10,24
226879,Etonogestrel,Birth Control,6,2014-12-15,17
50895,Azithromycin,Chlamydia Infection,8,2017-03-03,4
118729,Drospirenone / ethinyl estradiol,Birth Control,1,2017-09-28,0
132551,Doxepin,Insomnia,10,2015-11-25,36
75967,Pioglitazone,"Diabetes, Type 2",10,2009-05-02,30
136319,Prazosin,Nightmares,8,2016-01-26,11
90338,Desloratadine,Allergic Rhinitis,7,2009-11-09,3
75738,Temazepam,Insomnia,1,2016-09-18,13
136470,Entyvio,Crohn's Disease,9,2017-05-12,8
4357,Gefitinib,Non-Small Cell Lung Cance,9,2011-12-09,18
157962,Accutane,Acne,9,2009-11-18,18
124574,Skyla,Birth Control,10,2015-02-18,9
230304,Meloxicam,Inflammatory Conditions,9,2016-05-24,19
178118,Duloxetine,Bipolar Disorde,1,2011-09-16,20
49606,Ethinyl estradiol / levonorgestrel,Birth Control,3,2015-09-15,8
104273,Ethinyl estradiol / levonorgestrel,Birth Control,7,2012-10-08,11
100915,Orlistat,Obesity,9,2010-02-13,140
184242,Hydroxyzine,Anxiety,1,2016-01-22,8
36763,Fentanyl,Pain,4,2009-04-24,65
142989,Etonogestrel,Birth Control,1,2017-07-19,7
106044,Atomoxetine,ADHD,10,2011-11-24,19
153018,Doxycycline,Acne,8,2016-05-14,22
159517,Gabapentin enacarbil,Postherpetic Neuralgia,10,2013-07-31,42
46525,Bronkaid,Cold Symptoms,10,2015-06-30,5
170387,Quetiapine,Obsessive Compulsive Disorde,8,2016-01-23,10
58604,Niacin,Depression,10,2015-06-19,185
21103,Paliperidone,Schizophrenia,10,2015-12-15,22
46706,Clindamycin,Acne,7,2017-11-26,0
84419,Ethinyl estradiol / norgestimate,Acne,6,2016-11-29,4
227830,Etonogestrel,Birth Control,10,2011-10-11,0
11252,Drospirenone / ethinyl estradiol / levomefolate calcium,Birth Control,9,2011-07-19,13
175495,Scopolamine,Motion Sickness,10,2009-12-07,13
109765,Nexplanon,Birth Control,1,2016-07-22,13
119172,Zoloft,8</span> users found this comment helpful.,7,2008-03-11,8
140390,Sterapred,"Conjunctivitis, Allergic",9,2012-08-01,6
218169,Amoxicillin / clavulanate,Skin or Soft Tissue Infection,5,2016-09-24,8
167969,Kariva,Birth Control,1,2009-04-29,5
144427,Etonogestrel,Birth Control,5,2016-04-21,0
985,Pentosan polysulfate sodium,Interstitial Cystitis,9,2016-05-05,36
43250,Hydromorphone,Chronic Pain,10,2014-05-19,93
216755,Rosuvastatin,High Cholesterol,6,2016-03-03,75
38016,Adipex-P,Obesity,10,2016-10-25,29
172473,Clonazepam,Anxiety,9,2016-05-16,18
206257,Mesalamine,Ulcerative Colitis,9,2016-06-03,4
114358,Tacrolimus,Atopic Dermatitis,9,2016-07-09,13
50293,Gabapentin,Diabetic Peripheral Neuropathy,10,2014-04-15,42
191132,Campral,Alcohol Dependence,7,2010-09-19,48
229919,Flurazepam,Insomnia,10,2010-04-14,61
58861,Zutripro,Cough and Nasal Congestion,10,2012-07-17,12
168668,Vilazodone,Major Depressive Disorde,9,2016-05-24,27
88705,Fluticasone,Rhinitis,1,2016-02-20,28
90261,Vicodin,Pain,10,2011-03-13,6
97010,Ambien,Insomnia,9,2015-02-11,45
97194,Ambien,Insomnia,4,2010-10-20,7
223233,Estradiol,Postmenopausal Symptoms,10,2009-12-11,20
75239,Mirapex,Restless Legs Syndrome,6,2008-12-09,25
106107,Atomoxetine,ADHD,7,2009-04-14,13
638,Medroxyprogesterone,Abnormal Uterine Bleeding,5,2009-07-01,47
173764,Mometasone,Eczema,10,2012-07-11,53
81385,Yaz,Acne,9,2012-09-26,30
43189,Sronyx,Birth Control,10,2011-07-25,10
199018,Depo-Provera,Abnormal Uterine Bleeding,3,2016-03-29,8
149620,Mirena,Birth Control,10,2012-12-06,5
3782,Fioricet,Headache,10,2013-01-01,41
89127,Singulair,"Asthma, Maintenance",10,2009-03-25,86
116117,Plan B One-Step,Emergency Contraception,6,2016-11-01,9
16437,Ethinyl estradiol / norethindrone,Birth Control,1,2016-01-20,6
126940,Metoclopramide,Migraine,10,2017-03-06,1
11544,Pramipexole,Restless Legs Syndrome,10,2015-01-16,24
89157,Celexa,Anxiety and Stress,2,2017-03-22,26
133265,Tri-Sprintec,Birth Control,10,2012-09-18,6
71516,Milk thistle,Herbal Supplementation,10,2016-05-03,4
40814,Leuprolide,Endometriosis,1,2016-02-09,1
4603,Belviq,Obesity,1,2015-10-01,17
162928,Cefdinir,Otitis Media,6,2010-01-29,10
24173,Tretinoin,Acne,10,2015-09-20,42
70880,Magnesium citrate,Constipation,10,2016-03-14,27
155067,Metronidazole,Bacterial Infection,8,2016-07-12,4
23131,Methadone,Pain,5,2016-07-31,23
62620,Citalopram,Depression,8,2010-08-06,21
179074,Olanzapine,Schizophrenia,5,2017-11-23,1
162811,Cefdinir,Sinusitis,8,2015-11-02,12
23464,Methadone,Pain,10,2010-05-22,20
61057,Lidocaine,Anesthesia,10,2017-04-03,0
31986,Miconazole,Vaginal Yeast Infection,7,2015-06-05,8
19450,Pregabalin,Postherpetic Neuralgia,9,2015-07-23,24
84308,Ethinyl estradiol / norgestimate,Birth Control,9,2017-01-09,8
12040,Metaxalone,Muscle Spasm,9,2008-07-25,37
178022,Duloxetine,Depression,1,2012-02-26,16
184306,Hydroxyzine,Sedation,9,2014-08-17,54
168790,Vilazodone,Major Depressive Disorde,8,2015-01-03,57
96236,Sertraline,Panic Disorde,10,2012-04-08,63
143947,Etonogestrel,Birth Control,9,2016-08-02,6
99793,Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,8,2016-08-22,14
195351,Glatiramer,Multiple Sclerosis,8,2015-06-16,25
14692,Tecfidera,Multiple Sclerosis,10,2016-08-10,45
50072,Gabapentin,Restless Legs Syndrome,5,2015-08-29,28
45053,Fluoxetine,Anxiety and Stress,6,2016-12-29,40
140437,Escitalopram,Generalized Anxiety Disorde,1,2017-06-17,11
185551,Saxenda,Obesity,9,2017-01-31,51
86494,Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,6,2014-04-17,7
31489,Miconazole,Vaginal Yeast Infection,3,2016-05-27,1
199218,Depo-Provera,Abnormal Uterine Bleeding,5,2015-10-15,8
134127,Prednisone,Pharyngitis,9,2016-12-26,6
21397,Benzoyl peroxide / erythromycin,Acne,1,2017-01-04,8
163821,Mirtazapine,Insomnia,9,2009-09-02,48
45625,Fluoxetine,Depression,8,2013-05-14,210
66684,Seroquel,Bipolar Disorde,6,2016-03-15,11
203655,Benzocaine,"Burns, External",10,2008-04-17,6
227628,Etonogestrel,Birth Control,6,2012-05-01,0
42886,Xulane,1</span> users found this comment helpful.,2,2016-03-07,1
77200,Lorcaserin,Weight Loss,9,2014-05-20,80
6141,Minastrin 24 Fe,Birth Control,7,2015-09-03,2
51880,Ustekinumab,Psoriasis,9,2016-02-09,17
110625,Nexplanon,Birth Control,4,2015-12-12,1
144944,Etonogestrel,Birth Control,2,2015-12-27,0
175274,Mucinex,ibromyalgia,10,2011-04-20,69
58180,Acetaminophen / hydrocodone,Pain,8,2009-06-06,8
176844,Adalimumab,"Crohn's Disease, Maintenance",1,2017-02-18,7
54668,Bupropion / naltrexone,Weight Loss,7,2017-04-27,3
85952,Ethinyl estradiol / norgestimate,Birth Control,9,2013-05-29,36
174453,Tiotropium,"COPD, Maintenance",2,2014-01-04,141
220060,Amitriptyline,Migraine Prevention,10,2016-04-13,57
180203,Doxylamine / pyridoxine,Nausea/Vomiting of Pregnancy,2,2015-09-23,8
63087,Tranexamic acid,Menorrhagia,9,2012-12-12,40
64386,Sertraline,Depression,10,2016-09-06,302
60295,NuvaRing,Birth Control,10,2011-09-22,0
188787,Vascepa,Hypertriglyceridemia,9,2016-02-08,21
50931,Azithromycin,Tonsillitis/Pharyngitis,1,2017-10-16,4
143265,Etonogestrel,Birth Control,4,2017-04-03,4
73182,Ethinyl estradiol / norethindrone,Birth Control,3,2014-10-29,32
191411,Lisdexamfetamine,ADHD,7,2016-03-08,13
11103,Drospirenone / ethinyl estradiol / levomefolate calcium,Premenstrual Dysphoric Disorde,5,2016-06-24,0
84217,Ethinyl estradiol / norgestimate,Acne,3,2017-02-26,2
158271,Ziprasidone,Bipolar Disorde,1,2010-09-26,14
185016,Harvoni,Hepatitis C,10,2017-09-09,3
36835,Fentanyl,Not Listed / Othe,7,2008-08-09,4
58145,Acetaminophen / hydrocodone,Pain,10,2009-02-19,32
54152,Naloxegol,Opioid-Induced Constipation,9,2017-11-17,1
218352,Amoxicillin / clavulanate,Sinusitis,1,2015-08-03,7
144284,Etonogestrel,Birth Control,1,2016-05-10,7
97178,Ambien,Insomnia,7,2012-02-09,12
138860,Phentermine,Weight Loss,8,2010-08-15,1
210423,Linzess,"Constipation, Chronic",10,2014-01-08,61
133194,Tri-Sprintec,Abnormal Uterine Bleeding,10,2013-06-26,4
229105,Tadalafil,Benign Prostatic Hyperplasia,9,2014-08-07,1
110789,Ixekizumab,Plaque Psoriasis,10,2017-10-10,4
141998,Escitalopram,Anxiety,3,2009-06-16,10
219434,Dexmethylphenidate,ADHD,6,2008-03-10,17
136416,Mirvaso,Rosacea,1,2015-12-08,9
122499,Linaclotide,Constipation,8,2017-01-05,21
104717,Ethinyl estradiol / levonorgestrel,Birth Control,7,2010-12-02,0
103221,Estarylla,Abnormal Uterine Bleeding,1,2016-05-04,3
16584,Ethinyl estradiol / norethindrone,Birth Control,5,2015-11-23,4
128841,Phentermine,Weight Loss,10,2014-09-02,155
72202,Tramadol,Pain,6,2014-04-29,41
161484,Ortho Tri-Cyclen,Birth Control,7,2011-12-10,20
146554,Tamsulosin,Urinary Tract Stones,10,2015-12-06,35
96160,Sertraline,Generalized Anxiety Disorde,9,2012-02-26,42
12904,Vardenafil,Erectile Dysfunction,10,2015-09-07,97
232044,Trazodone,Insomnia,1,2009-05-20,57
192654,Drospirenone / ethinyl estradiol,Premenstrual Dysphoric Disorde,2,2011-12-06,16
208116,Suprep Bowel Prep Kit,Bowel Preparation,6,2012-06-24,9
166140,Levonorgestrel,Birth Control,5,2017-01-11,3
172368,Clonazepam,Seizure Prevention,10,2016-12-19,13
51918,Ustekinumab,Psoriasis,10,2010-12-29,73
67744,Plan B,Emergency Contraception,10,2017-03-14,2
23368,Methadone,Pain,10,2011-02-26,37
136224,Relpax,Migraine,10,2009-06-04,8
126420,Carvedilol,Left Ventricular Dysfunction,7,2012-01-07,33
125289,Dulcolax,Constipation,4,2016-02-16,5
177081,Promethazine,Vertig,2,2009-10-04,22
26603,Sprintec,Birth Control,5,2012-03-07,1
225685,Bupropion,Depression,2,2012-01-07,20
44747,Ramipril,High Blood Pressure,10,2009-12-15,86
135180,Aranesp,"Anemia, Chemotherapy Induced",10,2009-09-05,65
134828,Nucynta ER,Pain,9,2016-12-13,36
63152,Citric acid / magnesium oxide / sodium picosulfate,Bowel Preparation,10,2016-09-22,8
86721,Zioptan,"Glaucoma, Open Angle",10,2014-01-25,20
104220,Ethinyl estradiol / levonorgestrel,Birth Control,5,2013-02-21,12
216767,Rosuvastatin,High Cholesterol,2,2014-06-17,83
104085,Ethinyl estradiol / levonorgestrel,Birth Control,8,2013-10-23,4
178853,Victoza,"Diabetes, Type 2",5,2012-07-08,23
231158,Zohydro ER,Pain,10,2017-07-19,10
162562,Rifaximin,Traveler's Diarrhea,10,2009-08-10,5
131830,Effexor XR,Major Depressive Disorde,10,2014-09-20,33
225527,Bupropion,Depression,5,2014-07-03,5
142838,Levonorgestrel,Emergency Contraception,10,2017-07-03,2
74191,Ethinyl estradiol / norethindrone,Birth Control,3,2011-03-24,17
3940,Seroquel XR,Bipolar Disorde,6,2017-06-17,2
195344,Glatiramer,Multiple Sclerosis,2,2015-10-20,41
190991,Hyoscyamine,Irritable Bowel Syndrome,8,2013-09-01,17
115816,Divalproex sodium,Bipolar Disorde,10,2016-09-01,34
50092,Gabapentin,Anxiety,9,2015-08-10,86
124400,Skyla,Birth Control,7,2015-11-24,1
192583,Drospirenone / ethinyl estradiol,Birth Control,6,2012-12-04,6
68605,Medroxyprogesterone,Birth Control,1,2017-03-15,2
31228,Miconazole,Vaginal Yeast Infection,1,2016-10-05,5
108542,Bupropion / naltrexone,Obesity,7,2015-01-20,64
179812,Adapalene / benzoyl peroxide,Acne,9,2015-10-20,10
134849,Zovirax Cream,Cold Sores,2,2016-02-04,8
148055,Norethindrone,,1,2015-10-21,1
218020,Teriparatide,Osteoporosis,8,2008-10-30,253
95794,Sertraline,Anxiety and Stress,7,2014-02-13,64
164484,Diclofenac,Migraine,9,2014-01-29,16
79251,Plan B One-Step,Emergency Contraception,10,2016-02-20,33
195388,Glatiramer,Multiple Sclerosis,9,2012-04-20,24
86692,Ammonium lactate / halobetasol,Psoriasis,10,2015-10-22,0
42285,Atenolol,Anxiety,10,2016-09-19,35
119372,Testosterone,"Hypogonadism, Male",10,2014-09-17,22
74084,Ethinyl estradiol / norethindrone,Birth Control,9,2011-08-24,19
213476,Cobicistat / elvitegravir / emtricitabine / tenofovir,HIV Infection,10,2015-03-30,57
57498,Ethinyl estradiol / ethynodiol,Birth Control,9,2012-08-02,15
537,Medroxyprogesterone,Birth Control,10,2015-03-13,17
178309,Duloxetine,ibromyalgia,1,2009-11-07,39
34273,Tramadol,Restless Legs Syndrome,10,2008-07-20,33
191668,Lisdexamfetamine,ADHD,7,2011-05-25,18
106310,Implanon,Birth Control,5,2017-05-04,2
31374,Miconazole,Vaginal Yeast Infection,1,2016-07-06,7
180909,Dienogest / estradiol,Birth Control,10,2013-05-17,4
73510,Ethinyl estradiol / norethindrone,Birth Control,9,2013-10-12,18
73746,Ethinyl estradiol / norethindrone,Birth Control,2,2012-08-29,16
18290,Embeda,Chronic Pain,1,2016-03-17,34
194885,Levetiracetam,Seizures,10,2013-05-02,1
144825,Etonogestrel,Birth Control,1,2016-01-16,8
14756,Ethinyl estradiol / norethindrone,Birth Control,1,2017-11-02,0
214330,Tioconazole,Vaginal Yeast Infection,1,2015-12-22,12
206863,Duac,Acne,9,2013-08-13,4
22001,Infliximab,Ulcerative Colitis,10,2013-05-08,46
226985,Etonogestrel,Birth Control,10,2014-11-06,10
185343,Saxenda,Obesity,5,2017-10-10,10
211853,Lamotrigine,Bipolar Disorde,8,2016-06-17,55
24815,Deplin,Depression,1,2017-06-05,14
161971,Ciprofloxacin,Urinary Tract Infection,8,2017-01-13,7
55907,Effexor,Depression,7,2009-12-02,31
5414,Penciclovir,Cold Sores,10,2013-03-19,13
209692,Lupron Depot,Endometriosis,8,2016-05-28,12
130390,Levonorgestrel,Emergency Contraception,8,2013-07-12,56
59549,Avelox,Sinusitis,10,2009-04-07,23
19741,Pregabalin,ibromyalgia,9,2010-06-10,31
228528,Geodon,Bipolar Disorde,1,2015-01-17,15
191625,Lisdexamfetamine,ADHD,10,2012-10-14,24
231406,Trazodone,Major Depressive Disorde,10,2016-10-10,10
166570,Levonorgestrel,Birth Control,10,2016-09-22,3
77387,Cogentin,Extrapyramidal Reaction,3,2010-09-26,48
10615,Mononessa,Abnormal Uterine Bleeding,1,2017-07-13,1
228456,Geodon,Bipolar Disorde,1,2017-07-29,3
179895,Adapalene / benzoyl peroxide,Acne,10,2015-02-14,13
203756,Mefenamic acid,Period Pain,1,2012-05-04,9
79755,Xarelto,Atrial Fibrillation,10,2015-11-19,50
177813,Duloxetine,Chronic Pain,8,2013-03-14,55
188268,ParaGard,Birth Control,10,2017-08-03,3
171425,Wellbutrin,Depression,1,2016-06-21,27
71256,Pramosone,Dermatitis,9,2008-10-22,5
22721,Lidocaine,Pain,1,2016-11-12,2
83242,Paxil,Depression,9,2010-06-24,48
49476,Ethinyl estradiol / levonorgestrel,Birth Control,1,2015-12-17,8
223341,Cetirizine,Allergic Rhinitis,8,2009-07-08,8
116277,Adalimumab,Psoriasis,1,2015-10-07,9
230146,Synalar Ointment,Dermatitis,7,2014-03-19,2
46950,Emsam,Depression,8,2008-04-10,85
52678,Doryx,Upper Respiratory Tract Infection,10,2010-03-03,117
100553,Desogestrel / ethinyl estradiol,Birth Control,9,2011-10-06,13
85513,Ethinyl estradiol / norgestimate,Birth Control,5,2014-12-03,6
51469,Azithromycin,Otitis Media,10,2008-02-26,59
139306,Armodafinil,Narcolepsy,2,2017-01-22,6
139457,Armodafinil,Bipolar Disorde,8,2011-07-17,22
99602,Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,1,2017-04-07,3
34596,Minocycline,Acne,2,2017-05-06,3
198234,Ranolazine,Angina,10,2009-04-15,75
108189,Bupropion / naltrexone,Obesity,8,2015-09-26,12
5503,Hylenex,Hypodermoclysis,10,2010-02-17,4
154680,Metronidazole,Bacterial Vaginitis,8,2017-07-02,6
42066,Cosentyx,Plaque Psoriasis,6,2017-09-30,3
152116,Chantix,Smoking Cessation,1,2009-07-07,13
9331,Lo Loestrin Fe,Birth Control,2,2017-01-24,3
72189,Tramadol,Back Pain,7,2014-06-13,35
96366,Sertraline,Depression,9,2010-03-07,55
109122,Nexplanon,Birth Control,3,2017-04-04,8
157315,Medrox,Muscle Pain,6,2010-05-13,1
132066,Effexor XR,Depression,9,2008-09-15,66
111499,Cipro,Urinary Tract Infection,8,2015-01-16,81
216987,Oxcarbazepine,Bipolar Disorde,8,2015-12-05,43
45794,Fluoxetine,Depression,9,2010-03-17,270
188716,ParaGard,Birth Control,9,2015-07-18,12
159256,TriNessa,Birth Control,8,2011-03-09,5
42310,Atenolol,High Blood Pressure,8,2016-02-18,43
169115,Vilazodone,Depression,10,2012-07-23,29
78309,Tapentadol,Pain,8,2011-08-10,14
108354,Bupropion / naltrexone,Obesity,10,2015-05-26,36
127184,Metoclopramide,Migraine,1,2015-09-07,24
80446,Cytomel,"Hypothyroidism, After Thyroid Removal",9,2012-07-01,169
202944,Gildess Fe 1 / 20,Birth Control,1,2016-03-10,2
162689,Terconazole,Vaginal Yeast Infection,6,2014-07-30,45
117709,Nortriptyline,Pain,10,2012-09-21,165
90115,Pneumococcal 13-valent vaccine,Pneumococcal Disease Prophylaxis,1,2016-09-05,8
210614,Mirtazapine,Insomnia,10,2017-07-31,16
206153,Eflornithine,Hirsutism,10,2011-08-06,91
139710,Etodolac,Osteoarthritis,10,2015-12-03,19
